Sample Name ,Cl (mg/L),SO4 (mg/L),Br (mg/L),NO3 (mg/L),DOC (mg/L),TDN (mg/L),wypt,lat,lon,ele,Date,Time (UTC),Time (EST),Developed,Undeveloped,Water,%water,%developed
1_10-20-21_18:32,12.46009395,17.22609355,0.37500928,0.13081627,4.857,0.3291,218,36.01663602,-78.89322602,94.154251,10/20/2021,22:36:10,18:36:10,,,,,
2_10-21-21_8:30,46.5554895,49.1325471,0.38706288,1.5138891,7.4,2.175,231,36.05952596,-78.83251204,94.911255,10/21/2021,12:33:48,8:33:48,2862800,28500,0,0,99.01428423
3_10-21-21_9:05,45.960021,49.5844105,0.30877792,1.5828542,7.555,2.293,232,36.05856598,-78.837309,84.068283,10/21/2021,13:08:56,9:08:56,3302400,2800,32800,0.982624326,98.93349311
4_10-21-21_10:20,44.9415225,48.5224664,0.30585968,1.6927308,7.626,2.415,233,36.05461501,-78.84934299,79.7882,10/21/2021,14:21:24,10:21:24,3910800,3800,39800,1.006473801,98.89743071
5_10-21-21_12:05,44.227749,48.1252954,0.30915856,1.6190901,7.543,2.349,234,36.04398801,-78.85582102,86.691391,10/21/2021,16:03:27,12:03:27,5113000,4000,52000,1.005997292,98.9166183
6_10-21-21_13:30,45.0863565,48.2841638,0.30687472,1.1375033,7.596,1.832,234,36.04398801,-78.85582102,86.691391,10/21/2021,16:03:27,12:03:27,4987600,37500,32800,0.64849048,98.6100951
7_10-21-21_13:45,10.16167875,11.0089673,0.1832936,0.13794656,6.829,0.4247,236,36.03090696,-78.86293097,90.651535,10/21/2021,17:48:15,13:48:15,2004800,100,23400,1.153675492,98.84139427
8_10-21-21_14:22,10.77829875,9.47730237,0.23835952,0.10229511,6.407,0.4194,237,36.02676697,-78.86578401,80.418884,10/21/2021,18:20:47,14:20:47,2190300,200,23800,1.074831775,98.91613602
9_10-21-21_15:00,8.75843805,9.79687245,0.19077952,0.07809888,6.118,0.3488,238,36.02238902,-78.87024997,102.648468,10/21/2021,18:54:53,14:54:53,2342100,3000,2600,0.110746688,99.76146867
10_10-21-21_15:55,10.13557995,11.73191628,0.18113664,0.079034,5.546,0.3266,239,36.01875697,-78.87997398,85.64241,10/21/2021,19:53:55,15:53:55,2664400,9600,800,0.029908778,99.61118588
11_10-21-21_16:40,12.40746615,12.06010222,0.18633872,0.08324204,5.478,0.3064,240,36.015195,-78.88769497,94.467224,10/21/2021,20:35:36,16:35:36,2503400,11000,800,0.031806616,99.53085242
12_10-21-21_17:45,9.45923385,8.82328027,0.16185088,0.05530533,5.898,0.4859,242,36.02145896,-78.89630704,103.971634,10/21/2021,21:45:21,17:45:21,1793100,7100,4600,0.254875887,99.35172872
13_10-22-21_9:15,10.7938935,9.52547286,0.18303984,0.06185117,5.135,0.2601,243,36.02250704,-78.89760104,101.901405,10/22/2021,13:09:12,9:09:12,1813900,7100,4800,0.262898455,99.34823091
14_10-22-21_10:05,11.9287611,11.2321964,0.19293648,0.07529352,5.18,0.2849,244,36.02927299,-78.90258299,109.468781,10/22/2021,14:08:32,10:08:32,1612400,8300,19400,1.182854704,98.31107859
15_10-22-21_11:05,12.86670465,12.9592847,0.19839232,0.07809888,5.333,0.2879,245,36.03372102,-78.90801799,125.575325,10/22/2021,15:09:25,11:09:25,1385500,12500,19300,1.361744161,97.75629718
16_10-22-21_12:00,12.73477665,13.6642187,0.19699664,0.09271013,5.42,0.3383,246,36.03481804,-78.91283599,122.669327,10/22/2021,15:58:29,11:58:29,1567300,14900,24800,1.543248289,97.52955818
17_10-22-21_12:40,13.2914196,15.48999776,0.1978848,0.08207314,5.059,0.3212,247,36.02840597,-78.91690196,109.554718,10/22/2021,16:38:29,12:38:29,1547700,16900,27500,1.727278437,97.21123045
18_10-22-21_12:55,20.14891515,23.80273614,0.24965184,0.11982861,4.902,0.3133,248,36.02700803,-78.918347,115.857323,10/22/2021,16:53:28,12:53:28,1436300,16900,27000,1.824077827,97.03418457
19_10-22-21_12:30,12.6991059,18.60032322,0.19128704,0.08417716,4.912,0.3175,250,36.02534699,-78.92260903,114.419403,10/22/2021,17:27:28,13:27:28,2008100,18400,40100,1.940385174,97.16926352
20_10-22-21_13:55,13.11507345,20.01606567,0.19230208,0.09913908,4.546,0.3184,251,36.02354304,-78.92849699,110.312737,10/22/2021,17:59:20,13:59:20,2190500,24300,39800,1.765279872,97.15692362
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
%water,DOC (mg/L),,%developed,NO3 (mg/L),TDN (mg/L),,,,,,,,,,,,,
,4.857,,,0.13081627,0.3291,,,,,,,,,,,,,
0,7.4,,99.01428423,1.5138891,2.175,,,,,,,,,,,,,
0.982624326,7.555,,98.93349311,1.5828542,2.293,,,,,,,,,,,,,
1.006473801,7.626,,98.89743071,1.6927308,2.415,,,,,,,,,,,,,
1.005997292,7.543,,98.9166183,1.6190901,2.349,,,,,,,,,,,,,
0.64849048,7.596,,98.6100951,1.1375033,1.832,,,,,,,,,,,,,
1.153675492,6.829,,98.84139427,0.13794656,0.4247,,,,,,,,,,,,,
1.074831775,6.407,,98.91613602,0.10229511,0.4194,,,,,,,,,,,,,
0.110746688,6.118,,99.76146867,0.07809888,0.3488,,,,,,,,,,,,,
0.029908778,5.546,,99.61118588,0.079034,0.3266,,,,,,,,,,,,,
0.031806616,5.478,,99.53085242,0.08324204,0.3064,,,,,,,,,,,,,
0.254875887,5.898,,99.35172872,0.05530533,0.4859,,,,,,,,,,,,,
0.262898455,5.135,,99.34823091,0.06185117,0.2601,,,,,,,,,,,,,
1.182854704,5.18,,98.31107859,0.07529352,0.2849,,,,,,,,,,,,,
1.361744161,5.333,,97.75629718,0.07809888,0.2879,,,,,,,,,,,,,
1.543248289,5.42,,97.52955818,0.09271013,0.3383,,,,,,,,,,,,,
1.727278437,5.059,,97.21123045,0.08207314,0.3212,,,,,,,,,,,,,
1.824077827,4.902,,97.03418457,0.11982861,0.3133,,,,,,,,,,,,,
1.940385174,4.912,,97.16926352,0.08417716,0.3175,,,,,,,,,,,,,
1.765279872,4.546,,97.15692362,0.09913908,0.3184,,,,,,,,,,,,,
